Marker1	Marker2	Correlation	Lower	Upper	t-statistic
hsa-miR-100*	hsa-miR-1270	0.725252	0.559938	0.835032	7.298210
hsa-miR-100*	hsa-miR-1271	0.764263	0.617213	0.859723	8.210463
hsa-miR-100*	hsa-miR-1272	0.695200	0.516867	0.815705	6.700579
hsa-miR-100*	hsa-miR-1273	0.763750	0.616450	0.859401	8.197236
hsa-miR-100*	hsa-miR-1274a	0.109838	-0.173829	0.376675	0.765615
hsa-miR-100*	hsa-miR-1274b	0.140054	-0.143909	0.402707	0.979983
hsa-miR-101	hsa-miR-101*	-0.131106	-0.395042	0.152823	-0.916239
hsa-miR-101	hsa-miR-103	0.462297	0.211111	0.656208	3.612046
hsa-miR-101	hsa-miR-103-2*	0.451449	0.197974	0.648331	3.505259
hsa-miR-101	hsa-miR-103-as	0.279593	0.001345	0.517658	2.017536
hsa-miR-101	hsa-miR-105	0.638315	0.437738	0.778369	5.745017
hsa-miR-101	hsa-miR-105*	0.194903	-0.088237	0.448902	1.376727
hsa-miR-101	hsa-miR-106a*	0.344638	0.073319	0.568458	2.543554
hsa-miR-101	hsa-miR-106b	-0.015019	-0.292151	0.264439	-0.104069
hsa-miR-101	hsa-miR-106b*	-0.122978	-0.388047	0.160881	-0.858535
hsa-miR-101	hsa-miR-107	0.108637	-0.175008	0.375630	0.757137
hsa-miR-101	hsa-miR-10a	0.760245	0.611241	0.857200	8.107816
hsa-miR-101	hsa-miR-10a*	0.471605	0.222454	0.662933	3.705302
hsa-miR-101	hsa-miR-10b	0.803568	0.676541	0.884157	9.353426
hsa-miR-101	hsa-miR-10b*	-0.152548	-0.413349	0.131383	-1.069400
hsa-miR-101	hsa-miR-1178	0.742931	0.585699	0.846276	7.689609
hsa-miR-101	hsa-miR-1179	0.543973	0.313016	0.714186	4.491410
hsa-miR-101	hsa-miR-1180	0.751931	0.598938	0.851966	7.902318
hsa-miR-101	hsa-miR-1181	0.426772	0.168427	0.630255	3.269455
hsa-miR-101	hsa-miR-1182	0.583214	0.363944	0.741235	4.974190
hsa-miR-101	hsa-miR-1183	0.711294	0.539820	0.826089	7.010985
hsa-miR-101	hsa-miR-1184	0.683689	0.500605	0.808230	6.490691
hsa-miR-101	hsa-miR-1185	0.098999	-0.184436	0.367232	0.689268
hsa-miR-101	hsa-miR-1197	0.729397	0.565949	0.837677	7.387059
hsa-miR-101	hsa-miR-1200	0.483355	0.236872	0.671378	3.825325
hsa-miR-101	hsa-miR-1201_v15.0	0.465817	0.215392	0.658755	3.647128
hsa-miR-101	hsa-miR-1202	0.498091	0.255108	0.681902	3.979678
hsa-miR-101	hsa-miR-1203	0.427465	0.169251	0.630766	3.275954
hsa-miR-101	hsa-miR-1204	0.319849	0.045552	0.549297	2.338843
hsa-miR-101	hsa-miR-1205	0.431006	0.173464	0.633372	3.309250
hsa-miR-101	hsa-miR-1206	0.612700	0.403094	0.761228	5.371165
hsa-miR-101	hsa-miR-1207-3p	0.141441	-0.142523	0.403892	0.989885
hsa-miR-101	hsa-miR-1207-5p	0.531110	0.296606	0.705208	4.342766
hsa-miR-101	hsa-miR-1208	0.789891	0.655707	0.875704	8.923833
hsa-miR-101	hsa-miR-122	0.360927	0.091797	0.580918	2.681312
hsa-miR-101	hsa-miR-122*	0.608622	0.397633	0.758479	5.314259
