Marker1	Marker2	Correlation	Lower	Upper	t-statistic
LINC00273	LINC00343	0.007443	-0.271472	0.285205	0.051568
LINC00273	LINC00345	0.674430	0.487617	0.802188	6.328511
LINC00273	LINC00346	0.544010	0.313063	0.714212	4.491841
LINC00273	LINC00347	0.619141	0.411750	0.765558	5.462434
LINC00273	LINC00348	0.478054	0.230354	0.667574	3.770855
LINC00273	LINC00350	0.206339	-0.076402	0.458365	1.460995
LINC00273	LINC00351	0.362794	0.093926	0.582339	2.697276
LINC00273	LINC00353	0.600960	0.387414	0.753302	5.209166
LINC00273	LINC00354	0.413743	0.153013	0.620621	3.148637
LINC00273	LINC00355	0.387947	0.122862	0.601361	2.916166
LINC00273	LINC00358	0.573878	0.351707	0.734846	4.854977
LINC00273	LINC00362	0.456615	0.204218	0.652087	3.555856
LINC00273	LINC00363	0.679616	0.494881	0.805575	6.418649
LINC00273	LINC00364	0.501657	0.259547	0.684436	4.017700
LINC00273	LINC00365	0.585498	0.366949	0.742794	5.003802
LINC00273	LINC00366	-0.017912	-0.294795	0.261746	-0.124118
LINC00273	LINC00368	0.539592	0.307412	0.711134	4.440293
LINC00273	LINC00370	0.651092	0.455245	0.786843	5.943227
LINC00273	LINC00374	0.553435	0.325175	0.720755	4.603604
LINC00273	LINC00375	0.412053	0.151022	0.619367	3.133133
LINC00273	LINC00376	0.421005	0.161588	0.625998	3.215675
LINC00273	LINC00377	0.780552	0.641599	0.869902	8.651264
LINC00273	LINC00379	0.771495	0.628005	0.864252	8.401097
LINC00273	LINC00380	0.632764	0.430180	0.774673	5.661458
LINC00273	LINC00381	0.609316	0.398561	0.758947	5.323895
LINC00273	LINC00382	0.155970	-0.127937	0.416251	1.093981
LINC00273	LINC00383	0.625513	0.420349	0.769828	5.554482
LINC00273	LINC00384	0.676158	0.490036	0.803318	6.358363
LINC00273	LINC00385	0.830588	0.718305	0.900702	10.333304
LINC00273	LINC00388	0.460936	0.209458	0.655222	3.598536
LINC00273	LINC00390	0.555054	0.327264	0.721876	4.623059
LINC00273	LINC00391	0.602977	0.390099	0.754666	5.236609
LINC00273	LINC00392	0.076495	-0.206250	0.347449	0.531528
LINC00273	LINC00393	0.213926	-0.068506	0.464612	1.517244
LINC00273	LINC00397	0.523745	0.287273	0.700042	4.259564
LINC00273	LINC00398	0.522209	0.285332	0.698962	4.242371
LINC00273	LINC00399	0.313100	0.038065	0.544039	2.284065
LINC00273	LINC00400	0.797906	0.667892	0.880664	9.170914
LINC00273	LINC00402	0.503650	0.262032	0.685851	4.039073
LINC00273	LINC00404	0.264544	-0.014906	0.505661	1.900524
LINC00273	LINC00408	0.624682	0.419225	0.769272	5.542370
LINC00273	LINC00411	0.200288	-0.082674	0.453365	1.416336
LINC00273	LINC00412	0.764802	0.618015	0.860061	8.224410
LINC00273	LINC00421	0.610531	0.400187	0.759767	5.340810
LINC00273	LINC00423	0.739352	0.580458	0.844007	7.607651
LINC00273	LINC00424	0.388812	0.123864	0.602010	2.923819
LINC00273	LINC00426	0.414838	0.154303	0.621433	3.158695
LINC00273	LINC00430	0.412149	0.151135	0.619438	3.134013
LINC00273	LINC00431	0.808442	0.684015	0.887156	9.516283
LINC00273	LINC00433	0.429148	0.171252	0.632005	3.291751
LINC00273	LINC00437	0.182525	-0.100956	0.438595	1.286179
LINC00273	LINC00440	0.759268	0.609792	0.856586	8.083195
LINC00273	LINC00442	0.826651	0.712168	0.898303	10.177798
LINC00273	LINC00443	0.683073	0.499739	0.807829	6.479730
LINC00273	LINC00445	0.469783	0.220229	0.661619	3.686929
LINC00273	LINC00446	0.543219	0.312051	0.713662	4.482582
LINC00273	LINC00448	0.228812	-0.052911	0.476797	1.628454
LINC00273	LINC00449	0.813205	0.691344	0.890081	9.680885
LINC00273	LINC00454	0.804389	0.677798	0.884662	9.380482
LINC00273	LINC00456	0.502233	0.260265	0.684846	4.023871
LINC00273	LINC00457	0.396216	0.132474	0.607562	2.989754
LINC00273	LINC00458	0.597119	0.382310	0.750698	5.157322
LINC00273	LINC00459	0.127971	-0.155936	0.392348	0.893961
LINC00276	LINC00278	0.472520	0.223574	0.663592	3.714562
LINC00276	LINC00280	0.566579	0.342193	0.729831	4.763756
LINC00276	LINC00290	0.023674	-0.256368	0.300049	0.164065
LINC00276	LINC00293	-0.115966	-0.381989	0.167803	-0.808896
LINC00276	LINC00294	-0.534636	-0.707675	-0.301091	-4.383087
LINC00276	LINC00297	-0.152173	-0.413030	0.131761	-1.066707
LINC00276	LINC00298	-0.136711	-0.399848	0.147245	-0.956137
LINC00276	LINC00299	0.536868	0.303935	0.709233	4.408766
LINC00276	LINC00301	-0.348820	-0.571667	-0.078045	-2.578661
LINC00276	LINC00303	-0.021417	-0.297993	0.258476	-0.148416
LINC00276	LINC00304	-0.122881	-0.387964	0.160977	-0.857847
LINC00276	LINC00305	0.102764	-0.180760	0.370518	0.715756
LINC00276	LINC00308	-0.466924	-0.659555	-0.216742	-3.658212
LINC00276	LINC00309	-0.570434	-0.732482	-0.347212	-4.811728
LINC00276	LINC00310	0.000048	-0.278308	0.278397	0.000333
LINC00276	LINC00311	-0.455905	-0.651572	-0.203360	-3.548881
LINC00276	LINC00313	0.080336	-0.202546	0.350843	0.558390
LINC00276	LINC00314	-0.422003	-0.626736	-0.162770	-3.224950
LINC00276	LINC00315	0.115689	-0.168076	0.381749	0.806938
LINC00276	LINC00319	-0.060936	-0.333630	0.221168	-0.422966
LINC00276	LINC00320	0.350780	0.080265	0.573168	2.595181
LINC00276	LINC00322	-0.114817	-0.380993	0.168935	-0.800769
LINC00276	LINC00324	0.112755	-0.170964	0.379206	0.786200
LINC00276	LINC00326	-0.088788	-0.358285	0.194369	-0.617577
LINC00276	LINC00327	0.175894	-0.107733	0.433045	1.237932
LINC00276	LINC00330	0.068245	-0.214176	0.340136	0.473921
LINC00276	LINC00331	0.235269	-0.046103	0.482053	1.677064
LINC00276	LINC00332	0.323505	0.049621	0.552139	2.368684
LINC00276	LINC00334	-0.537204	-0.709468	-0.304363	-4.412646
LINC00276	LINC00337	-0.467910	-0.660267	-0.217944	-3.668100
LINC00276	LINC00339	-0.150348	-0.411480	0.133595	-1.053619
LINC00276	LINC00342	0.008596	-0.270404	0.286263	0.059556
LINC00276	LINC00343	-0.207491	-0.459315	0.075205	-1.469521
LINC00276	LINC00345	0.165906	-0.117890	0.424648	1.165586
LINC00276	LINC00346	-0.485330	-0.672793	-0.239306	-3.845758
